select road_id, toll_flag, name_chn,alias_chn,ad_code,route_no,link_type from roadsegment where alias_chn like '%乌奎高速%';
--------------+-----------+--------------------+------------------------------------+---------+------------------+-----------
    528235415 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
 629891939223 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
 630320806807 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
 629216656203 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
 629217704779 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 654223  | Ｇ３０｜Ｇ３１２ |         0
     12336022 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
     28064662 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
     30161814 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
     31210390 |         2 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
    197933974 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
    198982550 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
    200031126 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
    201079702 |         1 | Ｇ３０连霍高速     | ３１２国道｜乌奎高速               | 652323  | Ｇ３０｜Ｇ３１２ |         0
